17:56:46.170 -> red=113648, ir=52099, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:46.264 -> red=113621, ir=52119, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:46.402 -> red=114097, ir=52335, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:46.497 -> red=113937, ir=52017, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:46.591 -> red=113639, ir=52010, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:46.684 -> red=113594, ir=51998, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:46.777 -> red=113514, ir=52000, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:46.871 -> red=113477, ir=51961, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:47.012 -> red=113439, ir=51872, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:47.059 -> red=113345, ir=51861, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:47.200 -> red=113217, ir=51723, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:47.294 -> red=113107, ir=51637, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:47.387 -> red=113211, ir=51913, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:47.481 -> red=113312, ir=51814, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:47.620 -> red=113283, ir=51752, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:47.666 -> red=113217, ir=51697, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:47.807 -> red=113148, ir=51675, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:47.903 -> red=113098, ir=51633, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:47.996 -> red=112965, ir=51405, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:48.092 -> red=112953, ir=51561, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:48.187 -> red=112970, ir=51621, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:48.279 -> red=113004, ir=51615, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:48.419 -> red=113017, ir=51675, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:48.466 -> red=113108, ir=51694, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:48.607 -> red=113000, ir=51482, HR=150, HRvalid=1, SPO2=99, SPO2Valid=1
17:56:48.700 -> red=112869, ir=51461, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:48.795 -> red=112815, ir=51237, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:48.889 -> red=112725, ir=51337, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:49.029 -> red=112839, ir=51478, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:49.076 -> red=112925, ir=51485, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:49.216 -> red=112895, ir=51555, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:49.311 -> red=112907, ir=51548, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:49.403 -> red=112847, ir=51525, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:49.497 -> red=112809, ir=51520, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:49.591 -> red=112861, ir=51383, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:49.685 -> red=112756, ir=51480, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:49.825 -> red=112813, ir=51639, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:49.873 -> red=112903, ir=51662, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:50.014 -> red=112937, ir=51695, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:50.108 -> red=112963, ir=51743, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:50.201 -> red=112967, ir=51818, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
17:56:50.295 -> red=113021, ir=51835, HR=136, HRvalid=1, SPO2=98, SPO2Valid=1
